SNO,Name_of_Paper_and_Journal,Year,Technology_Used,Key_Findings,Limitations,Remarks
15,Mars in 30 days? Russia unveils prototype of plasma rocket engine - World Nuclear News,2025,"Mars transit plasma engine, 30-60 day capability",Revolutionary Mars transit time reduction to 30-60 days,"Requires nuclear power, significant infrastructure",Revolutionary capability if technical claims validated
16,Performance Evaluation of the SPT-140 - NASA Technical Report,1998,"SPT-140 Hall thruster, flight performance","280 mN thrust, 1800s specific impulse achieved in flight","Ground testing data, flight validation needed",Proven flight performance data for Hall thruster technology
17,Electric Propulsion Activity in Russia - IEPC Conference,2007,Russian electric propulsion overview,Comprehensive Russian electric propulsion capabilities documented,"Historical overview, limited current technology details",Important historical context for Russian plasma development
18,Development of a Field-Reversed Configuration Plasma Thruster Prototype - IEEE Transactions,2024,"Field-reversed configuration, magnetic confinement",Novel magnetic confinement approach for plasma thruster,"Experimental prototype, commercial viability unclear",Novel approach to plasma generation and confinement
19,China Begins Testing Plasma-Powered Engines - ePlaneAI Technology News,2025,"Plasma-powered aircraft engines, atmospheric flight",Plasma jet engines tested for atmospheric flight applications,"Atmospheric applications, not space-compatible",Interesting but limited relevance to space applications
20,Hall Effect Thruster Technologies - NASA T2 Portal,2004,"Hall effect thrusters, magnetic field acceleration",Hall thruster technology maturation and commercialization,"Patent document, limited performance data",Important for understanding Hall thruster commercialization
21,Plasma propulsion with electronegative gases - CORDIS EU Project Report,2007,"Electronegative gas propulsion, alternative propellants",Alternative propellant gases evaluated for plasma propulsion,"Research project scope, limited commercial development",Relevant for alternative propellant research
22,China unveils new high-thrust engine for future space travel - China Daily,2025,"High-thrust plasma engines, space travel",China developing high-thrust engines for space applications,Limited technical specifications provided,Indicates Chinese advancement in plasma propulsion
23,Hall-effect thruster - Wikipedia Technical Overview,2002,"Hall effect thruster principles, magnetic acceleration",Fundamental Hall thruster physics and operation principles,"Overview document, limited detailed analysis",Essential background for Hall thruster understanding
24,Space plasma power and propulsion group - Australian National University,2005,"Space plasma research, power and propulsion",Advanced plasma research capabilities in space applications,"Academic research focus, limited commercial application",Valuable for advanced plasma research methodologies
25,Inspired by NASA and SpaceX — China testing the 'perfect fuel' for space - El Diario,2025,"Advanced plasma propellants, fuel optimization",China testing advanced propellants for space optimization,"News report, limited technical validation",Relevant for propellant optimization research
26,"A Deep-Throttling, High Specific Impulse Hall Thruster - NASA JPL Technical Report",2022,"Deep-throttling Hall thruster, variable ISP",Variable specific impulse capability from 1400-4000s,"Development stage, flight testing required",Advanced throttling capability relevant to mission flexibility
27,Plasma propulsion for small satellites - European Space Agency,2020,"Small satellite plasma propulsion, CubeSat applications",Miniaturized plasma thrusters for small satellite applications,"Small satellite applications, limited power levels",Important for small satellite propulsion development
28,Psyche's Hall Thruster - NASA Jet Propulsion Laboratory,2021,"Hall thruster for asteroid missions, deep space",Hall thruster successfully operating on Psyche asteroid mission,"Mission-specific application, limited general use",Successful operational example of Hall thruster technology
29,Electric Thruster Based on Plasma Propulsion including Power Processing Unit - ESA Connectivity,2007,Electric thruster with power processing unit,Integrated electric thruster with power processing demonstrated,"Research project stage, commercial development needed",Important for understanding integrated system development
30,Emission free flying a step closer after Chinese plasma jet breakthrough - 311 Institute,2022,"Atmospheric plasma jet, emission-free flight",Plasma jet technology for emission-free atmospheric flight,"Atmospheric flight focus, space applications unclear",Interesting atmospheric application of plasma technology
31,Development of high power hall thruster systems - NASA Technical Report,2018,"High power Hall thruster systems, kW-class",High power Hall thruster systems development up to 50kW,"Development stage, operational validation required",Relevant for high-power plasma system development
32,China Is Rapidly Becoming a Leading Innovator in Advanced Industries - ITIF Report,2024,"China's advanced manufacturing, plasma innovation",China rapidly advancing in plasma propulsion technologies,"Policy report, limited technical specifications",Important for understanding Chinese technological advancement
33,Fundamentals of Electric Propulsion: Ion and Hall Thrusters - NASA Descanso Book,2018,"Ion and Hall thruster fundamentals, space propulsion",Comprehensive textbook on ion and Hall thruster fundamentals,"Educational material, limited current research data",Essential educational resource for plasma propulsion
34,Research and Development of Electrothermal Pulsed Plasma Thruster Systems - Japanese Journal,2018,"Electrothermal pulsed plasma thruster, nanosatellites",Successful nanosatellite plasma thruster implementation,"Nanosatellite applications, very low power levels",Relevant for small-scale plasma thruster development
35,Overview of Aoba VELOX-IV Missions; Pulsed Plasma Thruster - Semantic Scholar,2016,"Pulsed plasma thruster, attitude control",Pulsed plasma thruster attitude control system validation,"University research project, limited commercial development",Important for understanding pulsed plasma operations
36,Development of Electrothermal Pulsed Plasma Thruster Systems onboard PROITERES - AIAA Conference,2014,"Electrothermal PPT systems, small satellites",Electrothermal PPT systems for small satellite applications,"Small satellite focus, limited power and performance",Valuable for small satellite application understanding
37,Thrust Enhanced by a Magnetic Laval Nozzle in an Applied-Field Magneto-Plasma-Dynamic Thruster - Plasma and Fusion Research,2016,"Magnetic Laval nozzle, thrust enhancement",Magnetic nozzle enhancement for plasma thruster performance,"Research stage, practical implementation challenges",Relevant for plasma thruster performance enhancement
38,Research and Development of Plasma Simulation Tools in JEDI/JAXA - Journal of Space Technology and Science,2016,"Plasma simulation tools, computational modeling",Advanced simulation tools for plasma thruster design,"Academic research, limited commercial development",Important for computational modeling and simulation
39,Development Status of 6-kW-class Hall Thrusters at JAXA - Electric Rocket Conference,2019,"6-kW Hall thrusters, high-power systems",6kW-class Hall thrusters developed and tested at JAXA,"Development stage, flight validation pending",Relevant for high-power plasma system development
40,India's first home-grown electric propulsion satellite to be launched - Times of India,2024,"Indigenous electric propulsion, satellite applications",India's first indigenous electric propulsion satellite planned,"Planning stage, technical validation required",Important for understanding Indian capabilities and plans
41,Neutral atom density measurements of xenon plasma inside a μ10 cathode - ScienceDirect,2021,"Xenon plasma density measurements, diagnostics",Neutral atom density measurements in xenon plasma chambers,"Academic research, limited operational data",Valuable for plasma diagnostics and measurement techniques
42,ISRO set to launch its first fully Electric-propelled Satellites - India Strategic,2024,"Electric propulsion satellites, indigenous development",ISRO developing fully electric propelled satellites,"Planning stage, launch and validation pending",Important for tracking Indian electric propulsion development
43,"Pulsed Plasma Rocket (PPR): Shielded, Fast Transits for Humans to Mars - NASA NIAC",2024,"Pulsed plasma rocket, human Mars missions",Pulsed plasma rocket concept for human Mars missions,"Conceptual design, significant development required",Relevant for understanding future human space exploration
44,Research and Development of Electric Propulsion Thrusters in Japan - JAXA Repository,2023,"Electric propulsion thruster development, Japan",Comprehensive Japanese electric propulsion development,"Overview document, limited current program details",Important for understanding Japanese development approaches
45,Electric Propulsion System - Press Information Bureau India,2018,"Indian electric propulsion systems, satellite applications",Indian electric propulsion systems for satellite applications,"Government program, limited commercial applications",Relevant for understanding Indian electric propulsion programs
46,"ISRO announces successful completion of 1,000-hour life test - News on Air",2025,"Stationary plasma thruster life testing, 1000-hour",1000-hour life test successfully completed for SPT,"Ground testing only, flight validation required",Critical reliability data for plasma thruster validation
47,ISRO achieves electric propulsion milestone! Passes 1000-hour space endurance test - India TV,2025,"Electric propulsion milestone, endurance testing",Major milestone in electric propulsion endurance testing,"Testing milestone, operational validation needed",Important milestone in electric propulsion development
48,ISRO successfully completes 1000hrs Life Test of Stationary Plasma Thruster - ISRO Official,2025,"SPT life test validation, operational reliability",Operational reliability validation for stationary plasma thrusters,"Life test validation, performance optimization required",Essential reliability validation for operational systems
49,SpaceX Raptor engine technical overview - Wikipedia,2009,"Raptor engine technology, methane/oxygen combustion",Advanced methane/oxygen combustion for rocket applications,"Different application, limited plasma ignition relevance",Different technology but relevant for advanced propulsion
50,Advanced Plasma Propulsion for the SpaceX Starship discussion - YouTube Technical,2021,"Advanced plasma propulsion concepts, Starship applications",Plasma propulsion concepts for next-generation spacecraft,"Conceptual discussion, limited technical validation",Conceptual relevance for advanced spacecraft propulsion
